title,link,pubDate,text_cleaned,text_processed
【巴以冲突第56天】战火再起，加沙满目疮痍之下重陷震惊与恐惧 - 联合国新闻,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvemgvc3RvcnkvMjAyMy8xMi8xMTI0NTEy0gEA?oc=5,"Fri, 01 Dec 2023 17:19:49 GMT",巴以冲突第天战火再起加沙满目疮痍之下重陷震惊与恐惧联合国新闻,巴 以 冲突 第天 战火 再起 加沙 满目疮痍 之下 重陷 震惊 与 恐惧 联合国 新闻
【巴以冲突第58天】人权高专呼吁结束暴力，恢复对话 - 联合国新闻,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvemgvc3RvcnkvMjAyMy8xMi8xMTI0NTYy0gEA?oc=5,"Sun, 03 Dec 2023 16:56:15 GMT",巴以冲突第天人权高专呼吁结束暴力恢复对话联合国新闻,巴 以 冲突 第天 人权 高专 呼吁 结束 暴力 恢复 对话 联合国 新闻
巴以冲突：安理会举行高级别会议 - 联合国新闻,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvemgvc3RvcnkvMjAyMy8xMS8xMTI0NDE30gEA?oc=5,"Wed, 29 Nov 2023 16:15:04 GMT",巴以冲突安理会举行高级别会议联合国新闻,巴 以 冲突 安理会 举行 高级别 会议 联合国 新闻
【巴以冲突第49天·休战第一天】停火协议生效给人们带来了喘息机会和救援希望 - 联合国新闻,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvemgvc3RvcnkvMjAyMy8xMS8xMTI0MjYy0gEA?oc=5,"Fri, 24 Nov 2023 08:00:00 GMT",巴以冲突第天休战第一天停火协议生效给人们带来了喘息机会和救援希望联合国新闻,巴 以 冲突 第天 休战 第一天 停火协议 生效 给 人们 带来 喘息 机会 救援 希望 联合国 新闻
新华社系列观察深入解读巴以冲突外溢效应 - 新华网,https://news.google.com/rss/articles/CBMiNGh0dHA6Ly93d3cubmV3cy5jbi93b3JsZC8yMDIzLTExLzI1L2NfMTEyOTk5MzUwMS5odG3SAQA?oc=5,"Sat, 25 Nov 2023 08:00:00 GMT",新华社系列观察深入解读巴以冲突外溢效应新华网,新华社 系列 观察 深入 解读 巴 以 冲突 外溢 效应 新华网
现场直击｜巴以冲突持续加沙170万人流离失所 - 新华网,https://news.google.com/rss/articles/CBMiNGh0dHA6Ly93d3cubmV3cy5jbi93b3JsZC8yMDIzLTExLzIxL2NfMTIxMjMwNDY1My5odG3SAQA?oc=5,"Tue, 21 Nov 2023 08:00:00 GMT",现场直击巴以冲突持续加沙万人流离失所新华网,现场 直击 巴以 冲突 持续 加沙 万人 流离失所 新华网
王毅在巴以问题高级别会议后向媒体发表谈话 - 驻葡萄牙大使馆,https://news.google.com/rss/articles/CBMiRWh0dHA6Ly9wdC5jaGluYS1lbWJhc3N5Lmdvdi5jbi9jaG4vc2d4dy8yMDIzMTIvdDIwMjMxMjAxXzExMTkwNjM0Lmh0bdIBAA?oc=5,"Thu, 30 Nov 2023 16:00:00 GMT",王毅在巴以问题高级别会议后向媒体发表谈话驻葡萄牙大使馆,王毅 巴以 问题 高级别 会议 后 向 媒体 发表谈话 驻 葡萄牙 大使馆
中国关于解决巴以冲突的立场文件-中新网 - 中国新闻网,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3LmNoaW5hbmV3cy5jb20uY24vZ24vMjAyMy8xMS0zMC8xMDEyMDA3OS5zaHRtbNIBAA?oc=5,"Thu, 30 Nov 2023 00:24:40 GMT",中国关于解决巴以冲突的立场文件中新网中国新闻网,中国 关于 解决 巴 以 冲突 立场 文件 中新网 中国 新闻网
天津日报数字报刊平台-巴以冲突根本出路是落实“两国方案” - 天津日报,https://news.google.com/rss/articles/CBMiSWh0dHA6Ly9lcGFwZXIudGlhbmppbndlLmNvbS90anJiL2h0bWwvMjAyMy0xMi8wMS9jb250ZW50XzE0MzA4NF81ODU2MS5odG3SAQA?oc=5,"Thu, 30 Nov 2023 21:37:22 GMT",天津日报数字报刊平台巴以冲突根本出路是落实两国方案天津日报,天津日报 数字 报刊 平台 巴 以 冲突 根本 出路 落实 两 国 方案 天津日报
透过十幅地图了解巴以冲突简史 - 半岛电视台,https://news.google.com/rss/articles/CBMiyQFodHRwczovL2NoaW5lc2UuYWxqYXplZXJhLm5ldC9taWRkbGUtZWFzdC9xdWVzdGlvbi1vZi1wYWxlc3RpbmUvMjAyMy8xMS8yOC8lRTklODAlOEYlRTglQkYlODclRTUlOEQlODElRTUlQjklODUlRTUlOUMlQjAlRTUlOUIlQkUlRTQlQkElODYlRTglQTclQTMlRTUlQjclQjQlRTQlQkIlQTUlRTUlODYlQjIlRTclQUElODElRTclQUUlODAlRTUlOEYlQjLSAQA?oc=5,"Tue, 28 Nov 2023 03:51:00 GMT",透过十幅地图了解巴以冲突简史半岛电视台,透过 十幅 地图 了解 巴 以 冲突 简史 半岛 电视台
联合国呼吁用“两国方案”化解巴以冲突 - 新华网,https://news.google.com/rss/articles/CBMiNGh0dHA6Ly93d3cubmV3cy5jbi93b3JsZC8yMDIzLTExLzI5L2NfMTEyOTk5OTEyOS5odG3SAQA?oc=5,"Wed, 29 Nov 2023 07:29:45 GMT",联合国呼吁用两国方案化解巴以冲突新华网,联合国 呼吁 用 两国 方案 化解 巴 以 冲突 新华网
【巴以冲突第46天】人道主义机构警告称，加沙儿童死亡人数将呈现悲剧性上升趋势 - 联合国新闻,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvemgvc3RvcnkvMjAyMy8xMS8xMTI0MTU30gEA?oc=5,"Tue, 21 Nov 2023 08:00:00 GMT",巴以冲突第天人道主义机构警告称加沙儿童死亡人数将呈现悲剧性上升趋势联合国新闻,巴 以 冲突 第天 人道主义 机构 警告 称 加沙 儿童 死亡 人数 将 呈现 悲剧性 上升 趋势 联合国 新闻
